region,iso31662,area
http://www.wikidata.org/entity/Q1057563,MK-08,164.3
http://www.wikidata.org/entity/Q1057563,MK-602,164.3
http://www.wikidata.org/entity/Q1058442,MW-ZO,2580
http://www.wikidata.org/entity/Q1059694,SN-KA,11181
http://www.wikidata.org/entity/Q1061076,RS-20,2729
http://www.wikidata.org/entity/Q1061082,RS-18,3918
http://www.wikidata.org/entity/Q1061099,RS-24,3520
http://www.wikidata.org/entity/Q1061128,MD-DO,645
http://www.wikidata.org/entity/Q1061214,BF-SEN,6863
http://www.wikidata.org/entity/Q1061368,BO-O,53588
http://www.wikidata.org/entity/Q1063649,GR-14,2618
http://www.wikidata.org/entity/Q106789,SE-S,17519.24
http://www.wikidata.org/entity/Q106789,SE-17,17519.24
http://www.wikidata.org/entity/Q106789,SE-S,21789.05
http://www.wikidata.org/entity/Q106789,SE-17,21789.05
http://www.wikidata.org/entity/Q106789,SE-S,4269.81
http://www.wikidata.org/entity/Q106789,SE-17,4269.81
http://www.wikidata.org/entity/Q106789,SE-S,17591
http://www.wikidata.org/entity/Q106789,SE-17,17591
http://www.wikidata.org/entity/Q106915,SE-D,5619.3
http://www.wikidata.org/entity/Q106915,SE-04,5619.3
http://www.wikidata.org/entity/Q106915,SE-D,2624
http://www.wikidata.org/entity/Q106915,SE-D,6071.83
http://www.wikidata.org/entity/Q106915,SE-04,6071.83
http://www.wikidata.org/entity/Q106915,SE-D,8695.83
http://www.wikidata.org/entity/Q106915,SE-04,8695.83
http://www.wikidata.org/entity/Q106915,SE-04,2624
http://www.wikidata.org/entity/Q1070180,PW-226,40
http://www.wikidata.org/entity/Q1070185,PW-218,10
http://www.wikidata.org/entity/Q1070590,GB-CHE,1166.3576
http://www.wikidata.org/entity/Q1070591,GB-CHW,916.7005
http://www.wikidata.org/entity/Q107135,NO-0106,27.69986437339346
http://www.wikidata.org/entity/Q107135,NO-0106,70.59481811978094
http://www.wikidata.org/entity/Q107135,NO-0106,283.79
http://www.wikidata.org/entity/Q107135,NO-0106,559.15
http://www.wikidata.org/entity/Q107135,NO-0106,6.52
http://www.wikidata.org/entity/Q107135,NO-0106,6.518334497367564
http://www.wikidata.org/entity/Q107135,NO-0106,292.5559076730354
http://www.wikidata.org/entity/Q107135,NO-0106,2.25
http://www.wikidata.org/entity/Q107135,NO-0106,0
http://www.wikidata.org/entity/Q107135,NO-0106,3.9240818322421482
http://www.wikidata.org/entity/Q107135,NO-0106,70.57
http://www.wikidata.org/entity/Q107135,NO-0106,154.8
http://www.wikidata.org/entity/Q107135,NO-0106,22.578680992888366
http://www.wikidata.org/entity/Q107135,NO-0106,4.15
http://www.wikidata.org/entity/Q107135,NO-0106,559.1493727027755
http://www.wikidata.org/entity/Q107135,NO-0106,1.6386276244168982
http://www.wikidata.org/entity/Q107135,NO-0106,292.56
http://www.wikidata.org/entity/Q107135,NO-0106,266.59346502974006
http://www.wikidata.org/entity/Q107135,NO-0106,286
http://www.wikidata.org/entity/Q107135,NO-0106,2.4753052921443963
http://www.wikidata.org/entity/Q107135,NO-0106,2.44
http://www.wikidata.org/entity/Q107135,NO-0106,22.89
http://www.wikidata.org/entity/Q107135,NO-0106,27.3
http://www.wikidata.org/entity/Q107135,NO-0106,8.77
http://www.wikidata.org/entity/Q107135,NO-0106,1.64
http://www.wikidata.org/entity/Q107135,NO-0106,2.272013229233612
http://www.wikidata.org/entity/Q107135,NO-0106,154.85418171156792
http://www.wikidata.org/entity/Q1072085,MA-CHI,6872
http://www.wikidata.org/entity/Q1072757,KW-FA,190
http://www.wikidata.org/entity/Q107351,NO-2004,3.55
http://www.wikidata.org/entity/Q107351,NO-2004,1.35
http://www.wikidata.org/entity/Q107351,NO-2004,7.62
http://www.wikidata.org/entity/Q107351,NO-2004,101.74
http://www.wikidata.org/entity/Q107351,NO-2004,5371.52
http://www.wikidata.org/entity/Q107351,NO-2004,728.4475606308117
http://www.wikidata.org/entity/Q107351,NO-2004,2222.77
http://www.wikidata.org/entity/Q107351,NO-2004,72.6033769794462
http://www.wikidata.org/entity/Q107351,NO-2004,0.03935968601123681
http://www.wikidata.org/entity/Q107351,NO-2004,2692.57
http://www.wikidata.org/entity/Q107351,NO-2004,9.857627174955692
http://www.wikidata.org/entity/Q107351,NO-2004,2.4208964867101894
http://www.wikidata.org/entity/Q107351,NO-2004,1.6550123323104489
http://www.wikidata.org/entity/Q107351,NO-2004,0.3512615299982697
http://www.wikidata.org/entity/Q107351,NO-2004,2.59
http://www.wikidata.org/entity/Q107351,NO-2004,222.52
http://www.wikidata.org/entity/Q107351,NO-2004,2.1225582415433473
http://www.wikidata.org/entity/Q107351,NO-2004,2.6
