"population","population_year","City.Location","lat","lng"
215000,2020,"POINT (174.776 -41.2865)","-41.2865","174.776"
277417,2018,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
149280,2020,NA,NA,NA
41047,2021,"POINT (12.4058 55.9747)","55.9747","12.4058"
NA,NA,NA,NA,NA
20033,NA,NA,NA,NA
540000,2016,"POINT (7.26195 43.7102)","43.7102","7.26195"
2219580,2021,"POINT (-60.0217 -3.11902)","-3.11902","-60.0217"
NA,NA,NA,NA,NA
53879,2015,NA,NA,NA
286211,2020,"POINT (-47.2669 -22.8219)","-22.8219","-47.2669"
58612,2016,NA,NA,NA
76338,2020,"POINT (-111.631 35.1992)","35.1992","-111.631"
35183,2019,"POINT (-118.405 33.8889)","33.8889","-118.405"
224380,2020,NA,NA,NA
1040171,2019,"POINT (157.59 21.28)","21.28","157.59"
1653461,2020,"POINT (-34.8829 -8.05783)","-8.05783","-34.8829"
171587,2018,"POINT (0.1 49.49)","49.49","0.1"
84335,2020,NA,NA,NA
6591589,2020,"POINT (3.94704 7.37753)","7.37753","3.94704"
180534,2017,"POINT (14.933 10.8541)","10.8541","14.933"
19219,2020,"POINT (-18.1262 65.6885)","65.6885","-18.1262"
85000,2017,NA,NA,NA
78864,2019,NA,NA,NA
224380,2020,NA,NA,NA
149280,2020,NA,NA,NA
183314,2016,NA,NA,NA
180636,2020,NA,NA,NA
15305900,2019,"POINT (113.264 23.1291)","23.1291","113.264"
590157,2019,"POINT (-87.9065 43.0389)","43.0389","-87.9065"
108860,2016,NA,NA,NA
1476491,2020,NA,NA,NA
2220872,2018,"POINT (121.301 24.9931)","24.9931","121.301"
41047,2021,"POINT (12.4058 55.9747)","55.9747","12.4058"
86954,2017,"POINT (-74.2302 4.70592)","4.70592","-74.2302"
1156,2019,NA,NA,NA
26861,2011,NA,NA,NA
143222,2020,NA,NA,NA
NA,NA,NA,NA,NA
720848,2020,"POINT (-103.407 25.5428)","25.5428","-103.407"
1330286,2021,NA,NA,NA
1221095,2020,"POINT (126.805 37.17)","37.17","126.805"
1836552,2019,"POINT (30.9328 -17.8284)","-17.8284","30.9328"
2069849,2020,"POINT (-73.554 45.5087)","45.5087","-73.554"
347398,2020,"POINT (9.9326 -84.0796)","-84.0796","9.9326"
492681,2018,NA,NA,NA
264000,2010,NA,NA,NA
1108000,2020,"POINT (100.383 5.38333)","5.38333","100.383"
231962,2021,"POINT (-8.6291 41.1579)","41.1579","-8.6291"
150358,2019,"POINT (-106 35.5)","35.5","-106"
766900,2020,"POINT (-97.1375 49.8997)","49.8997","-97.1375"
334669,2020,NA,NA,NA
392887,2020,"POINT (-9.38811 38.7984)","38.7984","-9.38811"
21000,2021,NA,NA,NA
4146,2020,NA,NA,NA
8532,2016,"POINT (-64.5188 44.3786)","44.3786","-64.5188"
492681,2018,NA,NA,NA
NA,NA,NA,NA,NA
65333,2017,"POINT (-77.0273 -12.0977)","-12.0977","-77.0273"
1426000,2021,"POINT (-117.17 32.7181)","32.7181","-117.17"
212111,2019,NA,NA,NA
2514005,2020,"POINT (-0.16819 5.56543)","5.56543","-0.16819"
NA,NA,NA,NA,NA
5685807,2020,"POINT (103.82 1.35208)","1.35208","103.82"
120858,2021,"POINT (-23 46.5)","46.5","-23"
47266,2019,"POINT (-78.4767 38.0293)","38.0293","-78.4767"
440981,2021,"POINT (-122.271 37.8044)","37.8044","-122.271"
1153901,2020,NA,NA,NA
305461,2018,NA,NA,NA
120133,2021,"POINT (25.65 60.9833)","60.9833","25.65"
132536,2015,NA,NA,NA
5434,2019,"POINT (-106.374 39.6403)","39.6403","-106.374"
116632,2019,"POINT (-93.3273 45.601)","45.601","-93.3273"
NA,NA,NA,NA,NA
59517,2016,NA,NA,NA
569578,2019,NA,NA,NA
NA,NA,NA,NA,NA
2960048,2020,"POINT (120.862 15.6835)","15.6835","120.862"
2498,2018,NA,NA,NA
314418,2015,"POINT (-99.0173 19.3599)","19.3599","-99.0173"
118964,2021,NA,NA,NA
8612,2010,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
2602418,2020,"POINT (121.564 25.0375)","25.0375","121.564"
154817,2020,"POINT (-80.1495 26.0112)","26.0112","-80.1495"
708253,2019,"POINT (-77.0369 38.9072)","38.9072","-77.0369"
464983,2020,"POINT (-49.3762 -20.8118)","-20.8118","-49.3762"
NA,NA,NA,NA,NA
NA,NA,"POINT (19.6651 46.1005)","46.1005","19.6651"
381009,2019,"POINT (-81.6944 41.4993)","41.4993","-81.6944"
NA,NA,NA,NA,NA
492681,2018,NA,NA,NA
215000,2020,"POINT (174.776 -41.2865)","-41.2865","174.776"
365437,2020,"POINT (11.2558 43.7696)","43.7696","11.2558"
807254,2019,"POINT (15.9819 45.815)","45.815","15.9819"
277773,2020,"POINT (-75.3906 9.30457)","9.30457","-75.3906"
1653461,2020,"POINT (-34.8829 -8.05783)","-8.05783","-34.8829"
2939927,2020,NA,NA,NA
6747815,2019,"POINT (-43.5614 -22.9054)","-22.9054","-43.5614"
94129,2019,"POINT (14.8091 56.8777)","56.8777","14.8091"
766900,2020,"POINT (-97.1375 49.8997)","49.8997","-97.1375"
201386,2021,"POINT (7.5928 47.5619)","47.5619","7.5928"
583056,2020,NA,NA,NA
483629,2011,NA,NA,NA
5052000,2016,"POINT (-4.0083 5.36)","5.36","-4.0083"
99337,2017,"POINT (-71.5366 -16.3994)","-16.3994","-71.5366"
84412,2019,"POINT (-9.32771 38.9385)","38.9385","-9.32771"
NA,NA,NA,NA,NA
583056,2020,NA,NA,NA
231962,2021,"POINT (-8.6291 41.1579)","41.1579","-8.6291"
57637,2019,"POINT (-122.876 42.3265)","42.3265","-122.876"
1293611,2021,"POINT (-87.2044 14.1051)","14.1051","-87.2044"
1392121,2020,"POINT (-46.5338 -23.4542)","-23.4542","-46.5338"
2956024,2018,"POINT (-79.3832 43.6532)","43.6532","-79.3832"
20390,2018,NA,NA,NA
286178,2021,NA,NA,NA
NA,NA,NA,NA,NA
286178,2021,NA,NA,NA
523500,2017,NA,NA,NA
294464,2021,"POINT (14.5058 46.0569)","46.0569","14.5058"
946900,2019,"POINT (-106.076 28.6368)","28.6368","-106.076"
53282,2018,"POINT (12.4754 55.6425)","55.6425","12.4754"
20232,2020,NA,NA,NA
NA,NA,NA,NA,NA
1000773,2021,NA,NA,NA
694144,2019,"POINT (-86.7816 36.1627)","36.1627","-86.7816"
NA,NA,NA,NA,NA
421939,2017,"POINT (-63.5714 44.6478)","44.6478","-63.5714"
107699,2021,"POINT (-68.8154 -32.8421)","-32.8421","-68.8154"
143222,2020,NA,NA,NA
NA,NA,NA,NA,NA
434736,2020,"POINT (8.53918 47.3686)","47.3686","8.53918"
1584064,2019,"POINT (-75.1638 39.9523)","39.9523","-75.1638"
400000,2019,NA,NA,NA
3774638,2021,"POINT (28.3462 -26.1777)","-26.1777","28.3462"
1516113,2019,"POINT (-49.2648 -16.6869)","-16.6869","-49.2648"
