"actor_id","emissions_id","year","total_emissions","datasource_id"
"MX GDL","CDPCitiesTargets:2021:target:MX GDL",2050,15300000,"CDPCitiesTargets:2021"
"CO PEI","CDPCitiesTargets:2021:target:CO PEI",2023,372511,"CDPCitiesTargets:2021"
"SE KID","CDPCitiesTargets:2021:base:SE KID",1990,618504,"CDPCitiesTargets:2021"
"SE KID","CDPCitiesTargets:2021:target:SE KID",2045,92775.6,"CDPCitiesTargets:2021"
"PT EVR","CDPCitiesTargets:2021:base:PT EVR",2009,259581,"CDPCitiesTargets:2021"
"PT EVR","CDPCitiesTargets:2021:target:PT EVR",2020,207664.8,"CDPCitiesTargets:2021"
"DE MHG","CDPCitiesTargets:2021:base:DE MHG",1990,4350000,"CDPCitiesTargets:2021"
"DE MHG","CDPCitiesTargets:2021:target:DE MHG",2030,1957500,"CDPCitiesTargets:2021"
"SE LUD","CDPCitiesTargets:2021:base:SE LUD",2010,372176,"CDPCitiesTargets:2021"
"SE LUD","CDPCitiesTargets:2021:target:SE LUD",2025,130261.6,"CDPCitiesTargets:2021"
"NL AMS","CDPCitiesTargets:2021:base:NL AMS",1990,3810000,"CDPCitiesTargets:2021"
"NL AMS","CDPCitiesTargets:2021:target:NL AMS",2030,1714500,"CDPCitiesTargets:2021"
"CR BLN","CDPCitiesTargets:2021:base:CR BLN",2017,172363.57,"CDPCitiesTargets:2021"
"CR BLN","CDPCitiesTargets:2021:target:CR BLN",2021,163745.3915,"CDPCitiesTargets:2021"
"TW PIF","CDPCitiesTargets:2021:base:TW PIF",2013,4632700,"CDPCitiesTargets:2021"
"TW PIF","CDPCitiesTargets:2021:target:TW PIF",2030,3706160,"CDPCitiesTargets:2021"
"JP KIJ","CDPCitiesTargets:2021:base:JP KIJ",2013,7908000,"CDPCitiesTargets:2021"
"JP KIJ","CDPCitiesTargets:2021:target:JP KIJ",2030,4744800,"CDPCitiesTargets:2021"
"IS REY","CDPCitiesTargets:2021:base:IS REY",2019,21637,"CDPCitiesTargets:2021"
"IS REY","CDPCitiesTargets:2021:target:IS REY",2030,0,"CDPCitiesTargets:2021"
"UG KLA","CDPCitiesTargets:2021:base:UG KLA",2014,657900,"CDPCitiesTargets:2021"
"UG KLA","CDPCitiesTargets:2021:BAU:UG KLA",2030,1933800,"CDPCitiesTargets:2021"
"NL AMS","CDPCitiesTargets:2021:base:NL AMS",1990,3810000,"CDPCitiesTargets:2021"
"NL AMS","CDPCitiesTargets:2021:target:NL AMS",2050,190500,"CDPCitiesTargets:2021"
"ME TGD","CDPCitiesTargets:2021:base:ME TGD",2008,5,"CDPCitiesTargets:2021"
"ME TGD","CDPCitiesTargets:2021:target:ME TGD",2020,4,"CDPCitiesTargets:2021"
"CO ENV","CDPCitiesTargets:2021:base:CO ENV",2018,125897,"CDPCitiesTargets:2021"
"CO ENV","CDPCitiesTargets:2021:BAU:CO ENV",2023,315126,"CDPCitiesTargets:2021"
"PT LIS","CDPCitiesTargets:2021:base:PT LIS",2002,4091231,"CDPCitiesTargets:2021"
"PT LIS","CDPCitiesTargets:2021:target:PT LIS",2030,1227369.3,"CDPCitiesTargets:2021"
"PT LIS","CDPCitiesTargets:2021:base:PT LIS",2002,4091231,"CDPCitiesTargets:2021"
"PT LIS","CDPCitiesTargets:2021:target:PT LIS",2030,1227369.3,"CDPCitiesTargets:2021"
"PE SDR","CDPCitiesTargets:2021:base:PE SDR",2017,2040,"CDPCitiesTargets:2021"
"PE SDR","CDPCitiesTargets:2021:target:PE SDR",2050,40.8,"CDPCitiesTargets:2021"
"CH LAU","CDPCitiesTargets:2021:target:CH LAU",2050,0,"CDPCitiesTargets:2021"
"TR URL","CDPCitiesTargets:2021:target:TR URL",NA,0,"CDPCitiesTargets:2021"
