"name","iso","entity_type","City.Location","lat","lng"
"Abidjan","CIV","City","POINT (-4.0083 5.36)","5.36","-4.0083"
"Madrid","ESP","City","POINT (-3.38756 40.1076)","40.1076","-3.38756"
"Pietermaritzburg","ZAF","City","POINT (30.3794 -29.6006)","-29.6006","30.3794"
"Auckland","NZL","City","POINT (174.742 -36.8153)","-36.8153","174.742"
"Helsingborg","SWE","City",NA,NA,NA
"Tangerang","IDN","City",NA,NA,NA
"Serra Talhada","BRA","City",NA,NA,NA
"Hangzhou","CHN","City",NA,NA,NA
"Chuncheon","KOR","City",NA,NA,NA
"Zürich","CHE","City","POINT (8.53918 47.3686)","47.3686","8.53918"
"Medellìn","COL","City","POINT (-75.5735 6.22729)","6.22729","-75.5735"
"Cape Town","ZAF","City","POINT (18.4239 -33.9253)","-33.9253","18.4239"
"Recife","BRA","City","POINT (-34.8829 -8.05783)","-8.05783","-34.8829"
"Hong Kong","HKG","City","POINT (114.14 22.2881)","22.2881","114.14"
"Rio de Janeiro","BRA","City","POINT (-43.5614 -22.9054)","-22.9054","-43.5614"
"Niigata","JPN","City",NA,NA,NA
"Auckland","NZL","City","POINT (174.742 -36.8153)","-36.8153","174.742"
"San Isidro (Lima)","PER","City","POINT (-77.0273 -12.0977)","-12.0977","-77.0273"
"Florence","ITA","City","POINT (11.2558 43.7696)","43.7696","11.2558"
"Florence","ITA","City","POINT (11.2558 43.7696)","43.7696","11.2558"
"Oki","JPN","City",NA,NA,NA
"Tokyo","JPN","City","POINT (139.41 35.41)","35.41","139.41"
"Rouen","FRA","City",NA,NA,NA
"Takarazuka City","JPN","City",NA,NA,NA
"San Isidro (Lima)","PER","City","POINT (-77.0273 -12.0977)","-12.0977","-77.0273"
"Fafe","PRT","City","POINT (-8.17286 41.4508)","41.4508","-8.17286"
"Oslo","NOR","City","POINT (10.7522 59.9139)","59.9139","10.7522"
"Valencia","ESP","City","POINT (-0.3763 39.4699)","39.4699","-0.3763"
"Vitoria-Gasteiz","ESP","City","POINT (-2.67 42.84)","42.84","-2.67"
"Espoo","FIN","City","POINT (24.6559 60.2055)","60.2055","24.6559"
"Toluca","MEX","City",NA,NA,NA
"Bergen","NOR","City",NA,NA,NA
"Tarija","BOL","City","POINT (-63.4884 -21.2666)","-21.2666","-63.4884"
"Dar es Salaam","TZA","City","POINT (39.2083 -6.79235)","-6.79235","39.2083"
"Middelfart","DNK","City","POINT (9.87264 55.471)","55.471","9.87264"
"Berlin","DEU","City","POINT (13.405 52.52)","52.52","13.405"
"Middelfart","DNK","City","POINT (9.87264 55.471)","55.471","9.87264"
"Arendal","NOR","City","POINT (8.77245 58.4618)","58.4618","8.77245"
"Guimarães","PRT","City","POINT (-8.29224 41.4443)","41.4443","-8.29224"
"Hermosillo","MEX","City","POINT (-110.961 29.0892)","29.0892","-110.961"
"Sunderland","GBR","City",NA,NA,NA
"Barcelona","ESP","City","POINT (2.1775 41.3823)","41.3823","2.1775"
"Umeå","SWE","City","POINT (20.263 63.8258)","63.8258","20.263"
"Berlin","DEU","City","POINT (13.405 52.52)","52.52","13.405"
"Barcelona","ESP","City","POINT (2.1775 41.3823)","41.3823","2.1775"
"Can Tho City","VNM","City",NA,NA,NA
"Chuncheon","KOR","City",NA,NA,NA
"Mexico City","MEX","City","POINT (-99.1332 19.4326)","19.4326","-99.1332"
"Cardiff","GBR","City","POINT (-3.17909 51.4816)","51.4816","-3.17909"
"Reykjavík","ISL","City","POINT (-21.8174 64.1265)","64.1265","-21.8174"
"Malmö","SWE","City","POINT (13.0038 55.605)","55.605","13.0038"
"Caruaru","BRA","City",NA,NA,NA
"Suwon","KOR","City","POINT (126.805 37.17)","37.17","126.805"
"Nijmegen","NLD","City","POINT (5.84282 51.8449)","51.8449","5.84282"
"Belen","CRI","City","POINT (-84.1503 10.0035)","10.0035","-84.1503"
"Melbourne","AUS","City","POINT (144.963 -37.8141)","-37.8141","144.963"
"Klaipeda","LTU","City",NA,NA,NA
"Cape Town","ZAF","City","POINT (18.4239 -33.9253)","-33.9253","18.4239"
"Hvidovre","DNK","City","POINT (12.4754 55.6425)","55.6425","12.4754"
"Kochi","IND","City","POINT (76.2673 9.93123)","9.93123","76.2673"
"Genoa","ITA","City","POINT (9.31841 44.348)","44.348","9.31841"
"Genoa","ITA","City","POINT (9.31841 44.348)","44.348","9.31841"
"Gaziantep","TUR","City",NA,NA,NA
"Adelaide","AUS","City","POINT (138.601 -34.9285)","-34.9285","138.601"
"Mérida","MEX","City","POINT (-89.5926 20.9674)","20.9674","-89.5926"
"Kristianstad","SWE","City",NA,NA,NA
"Bournemouth","GBR","City","POINT (-1.88076 50.7192)","50.7192","-1.88076"
"Tsukuba","JPN","City",NA,NA,NA
"Cosenza","ITA","City",NA,NA,NA
"Ibaraki","JPN","City",NA,NA,NA
"Tainan","TWN","City","POINT (120.227 22.9999)","22.9999","120.227"
"Abidjan","CIV","City","POINT (-4.0083 5.36)","5.36","-4.0083"
"Tshwane","ZAF","City","POINT (28.1881 -25.7461)","-25.7461","28.1881"
"Lima","PER","City","POINT (-77.0283 -12.0433)","-12.0433","-77.0283"
"Sofia","BGR","City","POINT (23.3219 42.6977)","42.6977","23.3219"
"Cosenza","ITA","City",NA,NA,NA
"Casablanca","MAR","City","POINT (-7.56806 33.5206)","33.5206","-7.56806"
"San Carlos de Bariloche","ARG","City",NA,NA,NA
"Manchester","GBR","City",NA,NA,NA
"Umeå","SWE","City","POINT (20.263 63.8258)","63.8258","20.263"
"Helsingborg","SWE","City",NA,NA,NA
"Venado Tuerto","ARG","City",NA,NA,NA
"Matsuyama","JPN","City",NA,NA,NA
"Gaziantep","TUR","City",NA,NA,NA
"Nijmegen","NLD","City","POINT (5.84282 51.8449)","51.8449","5.84282"
"Gothenburg","SWE","City",NA,NA,NA
"Gothenburg","SWE","City",NA,NA,NA
"Barcelona","ESP","City","POINT (2.1775 41.3823)","41.3823","2.1775"
"Sunderland","GBR","City",NA,NA,NA
